si,side,attempt,sig_j,entry_j,entry,sl,risk,t1,t1_fallback,t1_hit,exit_j,exit_px,r,mfe_px,mae_px,reason,entry_ts,exit_ts,sig_ts,sess_date,year,mfe_r,mae_r,rr_t1_planned,ny_hour,r_refined
0,-1,1,2870540,2870541,1065.511,1066.321,1.0399999999999454,1059.059,0,0,2870914,1066.321,-1.0,3.7819999999999254,1.0769999999999982,1,2016-01-03 18:07:00-05:00,2016-01-04 00:20:00-05:00,2016-01-03 18:06:00-05:00,2016-01-04,2016,3.6365384615385805,1.0355769230769756,6.203846153846477,18,-1.0
0,-1,2,2870921,2870923,1066.298,1066.598,0.5299999999999545,1063.438,0,0,2870930,1066.598,-1.0,0.7300000000000182,0.3009999999999309,1,2016-01-04 00:29:00-05:00,2016-01-04 00:36:00-05:00,2016-01-04 00:27:00-05:00,2016-01-04,2016,1.3773584905661902,0.5679245283018052,5.396226415094614,0,-1.0
2,-1,1,2873830,2873831,1082.519,1083.29,1.0009999999999581,1077.939,0,0,2873882,1083.29,-1.0,1.4210000000000491,2.150000000000091,1,2016-01-06 02:57:00-05:00,2016-01-06 03:48:00-05:00,2016-01-06 02:56:00-05:00,2016-01-06,2016,1.419580419580528,2.1478521478523285,4.575424575424694,2,-1.0
2,-1,2,2873883,2873884,1083.732,1084.669,1.1670000000001255,1079.029,0,0,2873885,1084.669,-1.0,0.032999999999901775,1.2360000000001037,1,2016-01-06 03:50:00-05:00,2016-01-06 03:51:00-05:00,2016-01-06 03:49:00-05:00,2016-01-06,2016,0.02827763496135238,1.0591259640102577,4.029991431019253,3,-1.0
3,-1,1,2874843,2874844,1095.801,1097.001,1.4300000000000455,1091.35,0,0,2874853,1097.001,-1.0,0.6620000000000346,1.3790000000001328,1,2016-01-06 20:50:00-05:00,2016-01-06 20:59:00-05:00,2016-01-06 20:49:00-05:00,2016-01-07,2016,0.4629370629370724,0.9643356643357265,3.1125874125873287,20,-1.0
3,-1,2,2874855,2874856,1096.829,1097.652,1.0530000000000928,1091.35,0,0,2874861,1097.652,-1.0,0.34799999999995634,1.231999999999971,1,2016-01-06 21:02:00-05:00,2016-01-06 21:07:00-05:00,2016-01-06 21:01:00-05:00,2016-01-07,2016,0.3304843304842599,1.169990503323706,5.203228869895118,21,-1.0
4,-1,1,2876123,2876124,1110.689,1112.949,2.489999999999991,1108.269,0,1,2877429,1103.88,1.2320481927711096,18.460000000000036,0.06999999999993634,4,2016-01-07 19:10:00-05:00,2016-01-08 16:55:00-05:00,2016-01-07 19:09:00-05:00,2016-01-08,2016,7.413654618473937,0.02811244979917132,0.971887550200836,19,2.5082329317269667
6,1,1,2878946,2878947,1093.519,1093.02,0.7290000000000236,1097.03,0,1,2879518,1093.519,3.537448559670631,5.673000000000002,0.8399999999999181,3,2016-01-11 20:13:00-05:00,2016-01-12 05:44:00-05:00,2016-01-11 20:12:00-05:00,2016-01-12,2016,7.781893004114977,1.1522633744854471,4.8161865569270965,20,2.092592592592502
6,1,1,2879528,2879529,1090.638,1090.181,0.6869999999998799,1099.192,0,0,2879635,1090.181,-1.0,2.563000000000102,0.6879999999998745,1,2016-01-12 05:55:00-05:00,2016-01-12 07:41:00-05:00,2016-01-12 05:54:00-05:00,2016-01-12,2016,3.730713245997889,1.0014556040756837,12.451237263466641,5,-1.0
6,1,2,2879638,2879639,1086.499,1086.008,0.7209999999999854,1095.448,0,0,2879655,1086.008,-1.0,2.050999999999931,0.8399999999999181,1,2016-01-12 07:45:00-05:00,2016-01-12 08:01:00-05:00,2016-01-12 07:44:00-05:00,2016-01-12,2016,2.8446601941747187,1.1650485436892304,12.411927877947642,7,-1.0
7,1,1,2880550,2880551,1083.498,1083.049,0.6790000000000691,1085.151,0,0,2880558,1083.049,-1.0,0.09999999999990905,0.49900000000002365,1,2016-01-12 23:57:00-05:00,2016-01-13 00:04:00-05:00,2016-01-12 23:56:00-05:00,2016-01-13,2016,0.14727540500721484,0.7349042709867053,2.434462444771505,23,-1.0
7,1,2,2880559,2880560,1083.349,1082.999,0.579999999999909,1085.151,0,1,2880690,1083.349,2.088965517241893,2.31899999999996,0.33799999999996544,3,2016-01-13 00:06:00-05:00,2016-01-13 02:16:00-05:00,2016-01-13 00:05:00-05:00,2016-01-13,2016,3.998275862069524,0.582758620689687,3.1068965517248572,0,1.1568965517244358
7,1,2,2880692,2880693,1082.579,1081.991,0.8179999999999654,1084.399,0,0,2880695,1081.991,-1.0,0.45299999999997453,0.9500000000000455,1,2016-01-13 02:19:00-05:00,2016-01-13 02:21:00-05:00,2016-01-13 02:18:00-05:00,2016-01-13,2016,0.553789731051337,1.161369193154139,2.22493887530564,2,-1.0
8,1,1,2882695,2882696,1077.538,1076.699,1.0689999999999418,1083.739,0,0,2882732,1076.699,-1.0,0.9010000000000673,1.058999999999969,1,2016-01-14 12:42:00-05:00,2016-01-14 13:18:00-05:00,2016-01-14 12:41:00-05:00,2016-01-14,2016,0.8428437792330369,0.9906454630496041,5.80074836295637,12,-1.0
8,1,2,2882742,2882743,1073.89,1073.308,0.8120000000001073,1083.739,0,0,2882744,1073.308,-1.0,0.28899999999998727,0.6820000000000164,1,2016-01-14 13:29:00-05:00,2016-01-14 13:30:00-05:00,2016-01-14 13:28:00-05:00,2016-01-14,2016,0.3559113300491984,0.8399014778324215,12.1293103448259,13,-1.0
9,-1,1,2883845,2883846,1095.918,1097.282,1.5940000000000327,1080.228,0,0,2884329,1088.689,4.390840652446468,9.286999999999807,1.3630000000000564,5,2016-01-15 08:52:00-05:00,2016-01-15 16:55:00-05:00,2016-01-15 08:51:00-05:00,2016-01-15,2016,5.826223337515443,0.8550815558343967,9.843161856963302,8,4.390840652446468
11,1,1,2885616,2885617,1086.439,1086.159,0.5099999999999727,1089.828,0,0,2885623,1086.159,-1.0,0.79099999999994,0.7810000000001764,1,2016-01-18 20:22:00-05:00,2016-01-18 20:28:00-05:00,2016-01-18 20:21:00-05:00,2016-01-19,2016,1.5509803921568281,1.5313725490200358,6.6450980392158385,20,-1.0
11,1,2,2885626,2885627,1086.66,1085.658,1.23200000000018,1089.828,0,0,2885643,1085.658,-1.0,0.009999999999990905,1.0110000000001946,1,2016-01-18 20:32:00-05:00,2016-01-18 20:48:00-05:00,2016-01-18 20:31:00-05:00,2016-01-19,2016,0.008116883116874548,0.8206168831169212,2.5714285714281084,20,-1.0
11,-1,1,2886048,2886049,1093.688,1094.068,0.6099999999998817,1088.329,0,0,2886051,1094.068,-1.0,0.44000000000005457,0.4900000000000091,1,2016-01-19 03:34:00-05:00,2016-01-19 03:36:00-05:00,2016-01-19 03:33:00-05:00,2016-01-19,2016,0.7213114754100654,0.8032786885247608,8.785245901641295,3,-1.0
11,-1,2,2886052,2886053,1093.578,1094.178,0.8300000000001364,1088.329,0,1,2886850,1087.26,6.304578313251994,11.118999999999915,0.15200000000004366,4,2016-01-19 03:38:00-05:00,2016-01-19 16:55:00-05:00,2016-01-19 03:37:00-05:00,2016-01-19,2016,13.396385542166371,0.18313253012050443,6.324096385541158,3,2.8849397590356842
12,-1,1,2887417,2887418,1095.039,1095.458,0.6490000000000964,1091.059,0,0,2887418,1095.458,-1.0,0.1089999999999236,0.5830000000000837,1,2016-01-20 03:23:00-05:00,2016-01-20 03:23:00-05:00,2016-01-20 03:22:00-05:00,2016-01-20,2016,0.16795069337427954,0.8983050847457582,6.132511556239487,3,-1.0
12,-1,2,2887422,2887423,1096.038,1096.61,0.801999999999889,1091.059,0,0,2887425,1096.61,-1.0,0.029999999999972715,0.7699999999999818,1,2016-01-20 03:28:00-05:00,2016-01-20 03:30:00-05:00,2016-01-20 03:27:00-05:00,2016-01-20,2016,0.03740648379049485,0.9600997506235516,6.208229426434826,3,-1.0
15,-1,1,2891514,2891517,1104.299,1104.889,0.8199999999999181,1099.599,0,0,2891575,1104.889,-1.0,1.2180000000000746,1.1600000000000819,1,2016-01-25 02:42:00-05:00,2016-01-25 03:40:00-05:00,2016-01-25 02:39:00-05:00,2016-01-25,2016,1.485365853658776,1.4146341463417045,5.731707317073798,2,-1.0
15,-1,2,2891576,2891577,1104.559,1105.459,1.130000000000091,1099.599,0,0,2891752,1105.459,-1.0,1.9490000000000691,1.7889999999999873,1,2016-01-25 03:42:00-05:00,2016-01-25 06:37:00-05:00,2016-01-25 03:41:00-05:00,2016-01-25,2016,1.7247787610618692,1.5831858407078259,4.38938053097313,3,-1.0
16,-1,1,2892504,2892505,1109.041,1109.279,0.46800000000005637,1106.939,0,0,2892510,1109.279,-1.0,0.1799999999998363,0.24900000000002365,1,2016-01-25 20:10:00-05:00,2016-01-25 20:15:00-05:00,2016-01-25 20:09:00-05:00,2016-01-26,2016,0.3846153846149885,0.5320512820512685,4.491452991452155,20,-1.0
16,-1,2,2892513,2892514,1110.172,1110.632,0.6900000000000364,1106.939,0,0,2892516,1110.632,-1.0,0.0019999999999527063,0.7699999999999818,1,2016-01-25 20:19:00-05:00,2016-01-25 20:21:00-05:00,2016-01-25 20:18:00-05:00,2016-01-26,2016,0.0028985507245689866,1.115942028985422,4.685507246376488,20,-1.0
17,-1,1,2894997,2894998,1124.469,1124.68,0.4410000000000127,1115.109,0,0,2894999,1124.68,-1.0,0.10000000000013642,0.34999999999990905,1,2016-01-27 14:43:00-05:00,2016-01-27 14:44:00-05:00,2016-01-27 14:42:00-05:00,2016-01-27,2016,0.2267573696148153,0.7936507936505646,21.224489795918043,14,-1.0
17,-1,2,2895001,2895002,1124.649,1124.869,0.45000000000002727,1115.109,0,0,2895003,1124.869,-1.0,0.2699999999999818,0.6310000000000855,1,2016-01-27 14:47:00-05:00,2016-01-27 14:48:00-05:00,2016-01-27 14:46:00-05:00,2016-01-27,2016,0.5999999999999233,1.4022222222223273,21.199999999998635,14,-1.0
18,1,1,2896051,2896052,1112.918,1110.9,2.2479999999998017,1122.048,0,0,2896510,1114.362,0.5400355871887431,3.9809999999999945,1.4089999999998781,5,2016-01-28 09:17:00-05:00,2016-01-28 16:55:00-05:00,2016-01-28 09:16:00-05:00,2016-01-28,2016,1.7709074733097623,0.626779359430606,4.061387900356278,9,0.5400355871887431
19,1,1,2896808,2896809,1110.089,1108.352,1.9669999999998526,1116.659,0,1,2897890,1117.979,3.357397051347557,8.312000000000126,0.2699999999999818,4,2016-01-28 22:54:00-05:00,2016-01-29 16:55:00-05:00,2016-01-28 22:53:00-05:00,2016-01-29,2016,4.225724453482841,0.1372648703609568,3.340111845450257,22,30.44712760549294
20,-1,1,2898016,2898021,1118.151,1119.149,1.22799999999982,1115.352,0,0,2898037,1119.149,-1.0,0.6420000000000528,1.0570000000000164,1,2016-01-31 20:06:00-05:00,2016-01-31 20:22:00-05:00,2016-01-31 20:01:00-05:00,2016-02-01,2016,0.5228013029317157,0.860749185667892,2.2793159609123688,20,-1.0
20,-1,2,2898046,2898048,1119.759,1120.24,0.7109999999999945,1116.898,0,0,2898058,1120.24,-1.0,0.10799999999994725,0.8609999999998763,1,2016-01-31 20:33:00-05:00,2016-01-31 20:43:00-05:00,2016-01-31 20:31:00-05:00,2016-02-01,2016,0.15189873417714217,1.2109704641348564,4.023909985935479,20,-1.0
21,-1,1,2899348,2899349,1129.842,1130.39,0.7780000000000018,1127.679,0,1,2900212,1129.842,1.928534704370187,6.484000000000151,0.5069999999998345,3,2016-02-01 19:14:00-05:00,2016-02-02 09:37:00-05:00,2016-02-01 19:13:00-05:00,2016-02-02,2016,8.334190231362642,0.6516709511565981,2.780205655527,19,1.094473007712087
21,-1,1,2900213,2900214,1129.689,1130.349,0.8899999999998545,1124.208,0,0,2900226,1130.349,-1.0,1.400000000000091,1.2619999999999436,1,2016-02-02 09:39:00-05:00,2016-02-02 09:51:00-05:00,2016-02-02 09:38:00-05:00,2016-02-02,2016,1.5730337078655279,1.4179775280900562,6.158426966293136,9,-1.0
21,-1,2,2900227,2900228,1129.721,1130.951,1.4600000000000182,1124.208,0,1,2900591,1129.721,2.863287671232797,7.449000000000069,0.4900000000000091,3,2016-02-02 09:53:00-05:00,2016-02-02 15:56:00-05:00,2016-02-02 09:52:00-05:00,2016-02-02,2016,5.102054794520532,0.33561643835616645,3.7760273972601723,9,1.7304794520547448
22,-1,1,2901520,2901521,1131.672,1133.039,1.5969999999999618,1127.188,0,1,2901610,1131.672,2.1021916092673885,6.403999999999996,1.1009999999998854,3,2016-02-03 08:26:00-05:00,2016-02-03 09:55:00-05:00,2016-02-03 08:25:00-05:00,2016-02-03,2016,4.010018785222385,0.689417658108899,2.8077645585472957,8,1.2598622417032002
22,-1,1,2901612,2901613,1131.439,1132.09,0.8809999999998399,1125.268,0,0,2901615,1132.198,-1.1225879682181545,0.12700000000018008,3.1599999999998545,1,2016-02-03 09:58:00-05:00,2016-02-03 10:00:00-05:00,2016-02-03 09:57:00-05:00,2016-02-03,2016,0.1441543700342828,3.5868331441548564,7.004540295120512,9,-1.1225879682181545
22,-1,2,2901620,2901621,1133.579,1134.612,1.2630000000001291,1125.268,0,0,2901623,1134.612,-1.0,0.06799999999998363,1.0630000000001019,1,2016-02-03 10:06:00-05:00,2016-02-03 10:08:00-05:00,2016-02-03 10:05:00-05:00,2016-02-03,2016,0.05384006334123252,0.841646872525727,6.580364212192456,10,-1.0
23,-1,1,2902642,2902643,1146.329,1146.928,0.82900000000016,1140.418,0,0,2902644,1146.928,-1.0,0.43699999999989814,0.8089999999999691,1,2016-02-04 04:08:00-05:00,2016-02-04 04:09:00-05:00,2016-02-04 04:07:00-05:00,2016-02-04,2016,0.5271411338960359,0.9758745476475427,7.130277442700744,4,-1.0
23,-1,2,2902646,2902647,1146.372,1147.302,1.1599999999998363,1140.418,0,0,2902649,1147.302,-1.0,0.10100000000011278,0.9299999999998363,1,2016-02-04 04:12:00-05:00,2016-02-04 04:14:00-05:00,2016-02-04 04:11:00-05:00,2016-02-04,2016,0.0870689655173509,0.8017241379310065,5.132758620690534,4,-1.0
24,-1,1,2904067,2904068,1157.612,1158.308,0.9259999999999127,1153.078,0,0,2904081,1158.308,-1.0,0.7100000000000364,0.70699999999988,1,2016-02-05 04:53:00-05:00,2016-02-05 05:06:00-05:00,2016-02-05 04:52:00-05:00,2016-02-05,2016,0.7667386609072391,0.7634989200863355,4.896328293737077,4,-1.0
24,-1,2,2904082,2904084,1158.118,1158.319,0.4310000000000218,1153.078,0,0,2904084,1158.319,-1.0,0.2799999999999727,0.22000000000002728,1,2016-02-05 05:09:00-05:00,2016-02-05 05:09:00-05:00,2016-02-05 05:07:00-05:00,2016-02-05,2016,0.6496519721576764,0.5104408352668588,11.693735498839231,5,-1.0
25,-1,1,2905501,2905502,1174.541,1174.939,0.6280000000001382,1164.248,0,0,2905508,1174.939,-1.0,0.4130000000000109,0.8369999999999891,1,2016-02-08 05:47:00-05:00,2016-02-08 05:53:00-05:00,2016-02-08 05:46:00-05:00,2016-02-08,2016,0.6576433121017835,1.33280254777039,16.390127388531255,5,-1.0
25,-1,2,2905512,2905513,1175.742,1176.86,1.3479999999999381,1164.248,0,0,2905518,1176.86,-1.0,0.1009999999998854,1.1800000000000637,1,2016-02-08 05:58:00-05:00,2016-02-08 06:03:00-05:00,2016-02-08 05:57:00-05:00,2016-02-08,2016,0.0749258160236573,0.875370919881393,8.526706231454334,5,-1.0
27,1,1,2908163,2908164,1185.279,1185.041,0.46800000000005637,1190.198,0,0,2908167,1185.041,-1.0,0.3589999999999236,0.35799999999994725,1,2016-02-10 04:09:00-05:00,2016-02-10 04:12:00-05:00,2016-02-10 04:08:00-05:00,2016-02-10,2016,0.7670940170937615,0.7649572649570601,10.510683760682701,4,-1.0
27,1,2,2908180,2908181,1183.718,1183.211,0.7370000000000618,1190.198,0,0,2908182,1183.211,-1.0,0.34999999999990905,0.6900000000000546,1,2016-02-10 04:26:00-05:00,2016-02-10 04:27:00-05:00,2016-02-10 04:25:00-05:00,2016-02-10,2016,0.4748982360921027,0.9362279511533198,8.79240162822181,4,-1.0
28,-1,1,2908952,2908953,1197.829,1198.23,0.6310000000000673,1191.052,0,0,2908960,1198.23,-1.0,0.5799999999999272,0.4010000000000673,1,2016-02-10 18:18:00-05:00,2016-02-10 18:25:00-05:00,2016-02-10 18:17:00-05:00,2016-02-11,2016,0.9191759112517677,0.635499207607012,10.740095087162157,18,-1.0
28,-1,2,2908963,2908965,1198.311,1198.43,0.34900000000014186,1191.052,0,0,2908990,1198.43,-1.0,1.0289999999999964,0.1490000000001146,1,2016-02-10 18:30:00-05:00,2016-02-10 18:55:00-05:00,2016-02-10 18:28:00-05:00,2016-02-11,2016,2.9484240687666996,0.42693409742135824,20.79942693408901,18,-1.0
30,1,1,2911698,2911701,1232.64,1231.119,1.7510000000001855,1239.99,0,0,2911715,1231.119,-1.0,0.5289999999999964,1.6110000000001037,1,2016-02-14 18:06:00-05:00,2016-02-14 18:20:00-05:00,2016-02-14 18:03:00-05:00,2016-02-15,2016,0.30211307824097106,0.9200456881781456,4.197601370644849,18,-1.0
30,1,2,2911720,2911721,1231.539,1231.029,0.7399999999999909,1239.99,0,0,2911795,1231.029,-1.0,3.259999999999991,3.7870000000000346,1,2016-02-14 18:26:00-05:00,2016-02-14 19:40:00-05:00,2016-02-14 18:25:00-05:00,2016-02-15,2016,4.405405405405447,5.1175675675676775,11.420270270270441,18,-1.0
31,1,1,2913060,2913061,1196.14,1194.779,1.5910000000001037,1208.859,0,0,2913101,1194.779,-1.0,2.269999999999982,1.4110000000000582,1,2016-02-15 21:45:00-05:00,2016-02-15 22:25:00-05:00,2016-02-15 21:44:00-05:00,2016-02-16,2016,1.4267756128220201,0.8868636077938191,7.99434318038906,21,-1.0
31,1,2,2913109,2913110,1193.34,1192.809,0.760999999999949,1208.859,0,0,2913113,1192.809,-1.0,0.5180000000000291,0.6609999999998308,1,2016-02-15 22:34:00-05:00,2016-02-15 22:37:00-05:00,2016-02-15 22:33:00-05:00,2016-02-16,2016,0.6806833114324097,0.8685939553217806,20.392904073588756,22,-1.0
33,-1,1,2916605,2916606,1214.011,1214.43,0.6490000000000964,1204.661,0,0,2916607,1214.43,-1.0,0.12200000000007094,0.6480000000001382,1,2016-02-18 10:50:00-05:00,2016-02-18 10:51:00-05:00,2016-02-18 10:49:00-05:00,2016-02-18,2016,0.1879815100154897,0.9984591679507581,14.406779661014669,10,-1.0
33,-1,2,2916612,2916613,1214.329,1215.229,1.130000000000091,1204.661,0,0,2916616,1215.229,-1.0,0.13999999999987267,2.8600000000001273,1,2016-02-18 10:57:00-05:00,2016-02-18 11:00:00-05:00,2016-02-18 10:56:00-05:00,2016-02-18,2016,0.12389380530961186,2.5309734513273425,8.555752212388597,10,-1.0
35,1,1,2918625,2918626,1219.579,1219.341,0.46800000000005637,1223.639,0,0,2918628,1219.341,-1.0,0.0,0.7179999999998472,1,2016-02-21 22:30:00-05:00,2016-02-21 22:32:00-05:00,2016-02-21 22:29:00-05:00,2016-02-22,2016,0.0,1.534188034187523,8.675213675212513,22,-1.0
35,1,2,2918633,2918634,1219.762,1218.661,1.3309999999998854,1223.639,0,0,2918643,1218.661,-1.0,0.22600000000011278,1.1130000000000564,1,2016-02-21 22:38:00-05:00,2016-02-21 22:47:00-05:00,2016-02-21 22:37:00-05:00,2016-02-22,2016,0.16979714500385593,0.8362133734035704,2.912847483095632,22,-1.0
36,-1,1,2921088,2921089,1226.229,1228.23,2.2309999999999763,1222.189,0,0,2921111,1226.53,-0.23800986104882854,0.2480000000000473,1.1800000000000637,5,2016-02-23 16:33:00-05:00,2016-02-23 16:55:00-05:00,2016-02-23 16:32:00-05:00,2016-02-23,2016,0.11116091438818912,0.5289108023308275,1.810847153742719,16,-0.23800986104882854
37,-1,1,2921134,2921135,1229.879,1231.279,1.630000000000091,1222.189,0,0,2921154,1231.279,-1.0,1.2309999999999945,2.1010000000001128,1,2016-02-23 18:19:00-05:00,2016-02-23 18:38:00-05:00,2016-02-23 18:18:00-05:00,2016-02-24,2016,0.7552147239263349,1.2889570552147211,4.717791411042575,18,-1.0
37,-1,2,2921156,2921157,1231.549,1232.259,0.9400000000000364,1222.189,0,0,2921158,1232.259,-1.0,0.18000000000006366,0.9410000000000309,1,2016-02-23 18:41:00-05:00,2016-02-23 18:42:00-05:00,2016-02-23 18:40:00-05:00,2016-02-24,2016,0.19148936170218797,1.0010638297872283,9.957446808510147,18,-1.0
39,1,1,2924892,2924893,1218.619,1217.618,1.2309999999999763,1230.898,0,0,2924895,1217.618,-1.0,0.790000000000191,2.300999999999931,1,2016-02-26 10:57:00-05:00,2016-02-26 10:59:00-05:00,2016-02-26 10:56:00-05:00,2016-02-26,2016,0.6417546709993551,1.869212022745715,9.974817221771106,10,-1.0
39,1,2,2924897,2924898,1215.32,1214.259,1.2909999999999218,1230.898,0,0,2924898,1214.259,-1.0,0.19900000000006912,1.1119999999998527,1,2016-02-26 11:02:00-05:00,2016-02-26 11:02:00-05:00,2016-02-26 11:01:00-05:00,2016-02-26,2016,0.15414407436102337,0.8613477924089233,12.066615027111478,11,-1.0
40,-1,1,2926574,2926575,1240.389,1241.069,0.9100000000000636,1230.111,0,0,2926631,1238.35,1.987912087911935,3.13799999999992,0.2599999999999909,5,2016-02-29 15:59:00-05:00,2016-02-29 16:55:00-05:00,2016-02-29 15:58:00-05:00,2016-02-29,2016,3.448351648351319,0.2857142857142557,11.294505494504477,15,1.987912087911935
41,-1,1,2926672,2926673,1241.219,1241.811,0.8219999999998708,1237.251,0,1,2926771,1241.219,3.5819951338205867,4.610000000000127,0.33999999999991815,3,2016-02-29 18:37:00-05:00,2016-02-29 20:15:00-05:00,2016-02-29 18:36:00-05:00,2016-03-01,2016,5.608272506083761,0.41362530413621845,4.8272506082733555,18,2.1338199513385803
41,-1,1,2926783,2926786,1244.258,1245.76,1.7319999999999527,1239.761,0,0,2926792,1245.76,-1.0,0.5789999999999509,1.6520000000000437,1,2016-02-29 20:30:00-05:00,2016-02-29 20:36:00-05:00,2016-02-29 20:27:00-05:00,2016-03-01,2016,0.33429561200921865,0.9538106235566333,2.596420323325747,20,-1.0
41,-1,2,2926796,2926797,1245.741,1246.455,0.9439999999999418,1239.761,0,0,2926801,1246.455,-1.0,0.05199999999990723,1.3309999999999036,1,2016-02-29 20:41:00-05:00,2016-02-29 20:45:00-05:00,2016-02-29 20:40:00-05:00,2016-03-01,2016,0.05508474576261699,1.409957627118629,6.3347457627122745,20,-1.0
42,1,1,2928149,2928150,1226.389,1225.439,1.179999999999818,1232.83,0,0,2928250,1225.439,-1.0,2.6920000000000073,1.4809999999999945,1,2016-03-01 20:14:00-05:00,2016-03-01 21:54:00-05:00,2016-03-01 20:13:00-05:00,2016-03-02,2016,2.2813559322037475,1.2550847457629006,5.458474576272054,20,-1.0
42,1,2,2928252,2928253,1225.439,1224.708,0.9609999999999945,1229.081,0,1,2929391,1240.129,5.84973985431827,18.569999999999936,0.6800000000000637,4,2016-03-01 21:57:00-05:00,2016-03-02 16:55:00-05:00,2016-03-01 21:56:00-05:00,2016-03-02,2016,19.32362122788766,0.7075962539022556,3.789802289281838,21,18.46618106139437
43,-1,1,2930217,2930218,1244.709,1245.078,0.5989999999999145,1241.749,0,0,2930219,1245.078,-1.0,0.19000000000005457,0.3809999999998581,1,2016-03-03 07:42:00-05:00,2016-03-03 07:43:00-05:00,2016-03-03 07:41:00-05:00,2016-03-03,2016,0.31719532554270735,0.6360601001667988,4.941569282137661,7,-1.0
43,-1,2,2930220,2930221,1244.699,1245.269,0.7999999999999363,1241.749,0,0,2930236,1245.269,-1.0,1.2200000000000273,0.7210000000000036,1,2016-03-03 07:45:00-05:00,2016-03-03 08:00:00-05:00,2016-03-03 07:44:00-05:00,2016-03-03,2016,1.5250000000001556,0.9012500000000763,3.6875000000003504,7,-1.0
44,-1,1,2931372,2931373,1269.078,1269.679,0.8310000000001128,1259.701,0,0,2931376,1269.679,-1.0,0.35599999999999454,0.7999999999999545,1,2016-03-04 03:57:00-05:00,2016-03-04 04:00:00-05:00,2016-03-04 03:56:00-05:00,2016-03-04,2016,0.4283995186521615,0.9626955475329073,11.283995186520674,3,-1.0
44,-1,2,2931379,2931380,1271.121,1272.429,1.5379999999999927,1259.701,0,0,2931385,1272.429,-1.0,1.1620000000000346,1.727999999999838,1,2016-03-04 04:04:00-05:00,2016-03-04 04:09:00-05:00,2016-03-04 04:03:00-05:00,2016-03-04,2016,0.7555266579974252,1.1235370611182356,7.4252275682705635,4,-1.0
46,-1,1,2934067,2934068,1273.829,1274.625,1.026000000000049,1267.658,0,0,2934081,1274.625,-1.0,1.2999999999999545,0.9800000000000182,1,2016-03-08 02:52:00-05:00,2016-03-08 03:05:00-05:00,2016-03-08 02:51:00-05:00,2016-03-08,2016,1.26705653021432,0.9551656920077692,6.014619883040695,2,-1.0
46,-1,2,2934084,2934085,1274.132,1274.809,0.9069999999999072,1267.658,0,0,2934114,1274.809,-1.0,2.0130000000001473,0.8269999999999982,1,2016-03-08 03:09:00-05:00,2016-03-08 03:38:00-05:00,2016-03-08 03:08:00-05:00,2016-03-08,2016,2.2194046306508857,0.911797133406927,7.137816979052726,3,-1.0
47,1,1,2935044,2935045,1257.32,1254.359,3.1910000000000127,1264.65,0,0,2935063,1254.359,-1.0,0.8990000000001146,3.050999999999931,1,2016-03-08 20:09:00-05:00,2016-03-08 20:27:00-05:00,2016-03-08 20:08:00-05:00,2016-03-09,2016,0.28172986524603916,0.9561266060795734,2.297085553118184,20,-1.0
47,1,2,2935067,2935068,1253.129,1251.571,1.7879999999999927,1264.889,0,0,2935681,1251.571,-1.0,7.182000000000016,3.4869999999998527,1,2016-03-08 20:32:00-05:00,2016-03-09 06:45:00-05:00,2016-03-08 20:31:00-05:00,2016-03-09,2016,4.0167785234899585,1.950223713646458,6.577181208053713,20,-1.0
48,1,1,2937138,2937139,1240.898,1237.111,4.016999999999808,1251.519,0,1,2937671,1272.1,3.6114513318398727,32.40100000000007,1.5199999999999818,4,2016-03-10 08:03:00-05:00,2016-03-10 16:55:00-05:00,2016-03-10 08:02:00-05:00,2016-03-10,2016,8.065969629076829,0.3783918347025279,2.644012944983969,8,1.264749813293575
49,-1,1,2937809,2937810,1276.071,1276.53,0.68900000000006,1269.272,0,0,2937810,1276.53,-1.0,0.31199999999989814,0.5489999999999782,1,2016-03-10 20:14:00-05:00,2016-03-10 20:14:00-05:00,2016-03-10 20:13:00-05:00,2016-03-11,2016,0.452830188679058,0.7968069666181863,9.867924528300996,20,-1.0
49,-1,2,2937816,2937818,1281.109,1284.189,3.3100000000001546,1269.272,0,1,2939051,1249.201,4.71939577039252,32.93999999999983,0.7520000000001801,4,2016-03-10 20:22:00-05:00,2016-03-11 16:55:00-05:00,2016-03-10 20:20:00-05:00,2016-03-11,2016,9.951661631419423,0.2271903323263278,3.576132930513425,20,10.799697885195863
50,1,1,2940013,2940014,1247.319,1245.369,2.1800000000000455,1261.038,0,0,2940016,1245.369,-1.0,0.5219999999999345,2.849999999999909,1,2016-03-14 09:58:00-04:00,2016-03-14 10:00:00-04:00,2016-03-14 09:57:00-04:00,2016-03-14,2016,0.23944954128436863,1.3073394495412154,6.293119266054938,9,-1.0
50,1,2,2940022,2940024,1245.598,1244.298,1.5299999999999545,1259.119,0,0,2940067,1244.298,-1.0,4.3120000000001255,2.38799999999992,1,2016-03-14 10:08:00-04:00,2016-03-14 10:51:00-04:00,2016-03-14 10:06:00-04:00,2016-03-14,2016,2.818300653594937,1.5607843137254842,8.83725490196102,10,-1.0
51,1,1,2940629,2940630,1228.33,1225.659,2.9009999999998217,1237.95,0,1,2941382,1228.33,2.5735953119615833,9.70900000000006,2.058999999999969,3,2016-03-14 21:14:00-04:00,2016-03-15 09:46:00-04:00,2016-03-14 21:13:00-04:00,2016-03-15,2016,3.3467769734576547,0.7097552568080302,3.3160978972770456,21,1.5787659427784695
